Serial,PMID,URL,Title,occurrence:: initial,occurrence:: update,taxonomy:: single strain,taxonomy:: single species,taxonomy:: multi-species,taxonomy:: virus,taxonomy:: eubacteria,taxonomy:: archaebacteia,taxonomy:: eukaryotes,taxonomy:: mammals,taxonomy:: model organism,taxonomy:: human,taxonomy:: invertebrate,taxonomy:: vertebrate,taxonomy:: unicellular eukaryotes,taxonomy:: plants,taxonomy:: fungi,data:: single molecule type,data:: DNA,data:: RNA,data:: protein,data:: lipids,data:: carbohydrates,data:: chemicals and small molecules,data:: genes,data:: genome,data:: transcriptome,data:: proteome,data:: metabolome,data:: structure,data:: sequence,data:: short tandem repeats,data:: intron/exon,data:: coding/non-coding DNA,data:: complements,data:: transposons,data:: promoters and regulators,data:: metal ion binding/ interactions,data:: enzymatic sites/ complexes,data:: localization,data:: motif,data:: classification,data:: genetic similarity and/or conservation,data:: properties and annotation,data:: enzymes,data:: ribozymes,data:: pathways,data:: protein-nucleic acid interactions,data:: protein-protein interactions,data:: post-translational modifications,data:: diseases,data:: mutations and polymorphisms,data:: probes and primers,data:: antibodies,data:: ligand activity and pairs,data:: drugs and drug targets,data:: clinical,data:: literature,data:: statistics,data:: ancient,data:: comparative,data:: high-throughput,data:: microarray,data:: NGS,data:: crystallography,data:: mass spectrometry,data:: images,data:: images:: microscopic,data:: model,data:: model:: 3D,data:: model:: interactions,data:: inferred,system:: organelles,system:: nucleus,system:: cytoplasm,system:: mitochondria,system:: chloroplast,system:: ribosome,system:: extracellular,system:: whole cell,system:: tissues,system:: organs,system:: organ systems,system:: organism,system:: population,access:: web forms/applications,access:: programmatic,access:: data download,access:: submission,status:: alive,status:: dead,status:: unknown,Category_List
218,23193296,http://eeb.princeton.edu/lucapedia,LUCApedia: a database for the study of ancient life,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: single molecule type | data:: protein | data:: genes | data:: sequence | data:: literature | access:: web forms/applications | access:: data download | status:: alive
219,23340253,http://edr.research.bcm.edu,Research Resource: The Endometrium Database Resource (EDR),1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: genome | data:: transcriptome | data:: sequence | data:: properties and annotation | data:: literature | data:: microarray | access:: web forms/applications | access:: data download | status:: alive
133,23196988,http://shark.abl.ku.edu/nurbs/,NURBS: a database of experimental and predicted nuclear receptor binding sites of mouse,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,occurrence:: initial | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: vertebrate | data:: protein | data:: enzymatic sites/ complexes | data:: protein-protein interactions | data:: high-throughput | data:: inferred | system:: nucleus | access:: web forms/applications | access:: data download | access:: submission | status:: alive
132,23203982,http://sines.eimb.ru,SINEBase: a database and tool for SINE analysis,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: DNA | data:: sequence | data:: transposons | data:: literature | data:: statistics | access:: web forms/applications | access:: data download | access:: submission | status:: alive
131,23843252,http://sites.google.com/site/jpopgen/dbNSFP,dbNSFP v2.0: A Database of Human Non-synonymous SNVs and Their Functional Predictions and Annotations,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,occurrence:: update | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: genes | data:: sequence | data:: properties and annotation | data:: mutations and polymorphisms | data:: literature | access:: data download | status:: alive
130,24324667,http://smithlab.usc.edu/methbase/,A reference methylome database and analysis pipeline to facilitate integrative and comparative epigenomics,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | data:: DNA | data:: sequence | data:: literature | access:: web forms/applications | access:: data download | status:: alive
137,23881287,http://rgd.mcw.edu/,Rat Genome Database: A unique resource for rat; human and mouse quantitative trait locus (QTL) Data,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: single molecule type | data:: DNA | data:: genes | data:: genome | data:: sequence | data:: properties and annotation | data:: pathways | data:: diseases | data:: literature | access:: web forms/applications | access:: data download | status:: alive
136,23193278,http://rgkbase.big.ac.cn/RGKbase/,The Rice Genome Knowledgebase (RGKbase): an annotation database for rice comparative genomics and evolutionary biology,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: plants | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: genome | data:: transcriptome | data:: proteome | data:: sequence | data:: mutations and polymorphisms | data:: literature | data:: comparative | system:: organism | access:: web forms/applications | access:: data download | status:: alive
135,23986771,http://ricephylogenomics.ucdavis.edu/cellwalls/gh/,Construction of a rice glycoside hydrolase phylogenomic database and identification of targets for biofuel research,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: plants | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: transcriptome | data:: structure | data:: sequence | data:: enzymatic sites/ complexes | data:: enzymes | data:: literature | access:: web forms/applications | access:: data download | status:: alive
134,23143109,http://servers.binf.ku.dk/hemaexplorer,HemaExplorer: a database of mRNA expression profiles in normal and malignant haematopoiesis,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: RNA | data:: genes | data:: transcriptome | data:: sequence | data:: literature | access:: web forms/applications | access:: data download | status:: alive
139,23434633,http://rgd.mcw.edu,The Rat Genome Database 2013--data; tools and users,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,occurrence:: update | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: genome | data:: transcriptome | data:: structure | data:: sequence | data:: motif | data:: properties and annotation | data:: pathways | data:: diseases | data:: mutations and polymorphisms | data:: drugs and drug targets | data:: literature | system:: organism | access:: web forms/applications | access:: programmatic | access:: data download | status:: alive
138,23603846,http://rgd.mcw.edu,PhenoMiner: quantitative phenotype curation at the rat genome database,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,occurrence:: update | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: genes | data:: genome | data:: sequence | data:: localization | data:: motif | data:: properties and annotation | data:: pathways | data:: diseases | data:: literature | data:: model | system:: organism | access:: web forms/applications | access:: data download | status:: alive
93,23819919,http://www.bioinf.org.uk/saap/db/,The SAAP pipeline and database: tools to analyze the impact and predict the pathogenicity of mutations,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: update | taxonomy:: multi-species | data:: DNA | data:: protein | data:: genes | data:: genome | data:: structure | data:: sequence | data:: mutations and polymorphisms | data:: literature | data:: inferred | access:: web forms/applications | access:: data download | status:: alive
24,23087378,http://zhanglab.ccmb.med.umich.edu/BioLiP/,BioLiP: a semi-manually curated database for biologically relevant ligand-protein interactions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: protein | data:: chemicals and small molecules | data:: genes | data:: structure | data:: sequence | data:: metal ion binding/ interactions | data:: enzymatic sites/ complexes | data:: enzymes | data:: protein-nucleic acid interactions | data:: protein-protein interactions | data:: ligand activity and pairs | data:: literature | access:: web forms/applications | access:: data download | status:: alive
25,23074187,http://zfin.org,ZFIN; the Zebrafish Model Organism Database: increased support for mutants and transgenics,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,occurrence:: initial | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: model organism | taxonomy:: vertebrate | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: genome | data:: transcriptome | data:: proteome | data:: sequence | system:: organism | access:: web forms/applications | access:: data download | access:: submission | status:: alive
26,23125366,http://www.xenbase.org,Xenbase: expansion and updates of the Xenopus model organism database,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,occurrence:: update | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: model organism | taxonomy:: vertebrate | data:: DNA | data:: protein | data:: genes | data:: genome | data:: proteome | data:: sequence | data:: probes and primers | data:: antibodies | system:: organism | access:: web forms/applications | access:: data download | access:: submission | status:: alive
27,23539303,http://www.weizmann.ac.il/complex/compphys/software/Amit/primers/batch_query_qpcr_primers.htm,An accessible database for mouse and human whole transcriptome qPCR primers,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: model organism | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: transcriptome | data:: sequence | data:: probes and primers | data:: literature | access:: web forms/applications | status:: alive
20,23218953,pubmlst.org,A curated public database for multilocus sequence typing (MLST) and analysis of Haemophilus parasuis based on an optimized typing scheme,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,occurrence:: update | taxonomy:: single species | taxonomy:: eubacteria | data:: DNA | data:: genes | data:: genome | data:: sequence | data:: probes and primers | system:: organism | access:: web forms/applications | access:: programmatic | access:: data download | access:: submission | status:: alive
21,23627461,https://sourceforge.net/projects/mscdb/  | https://www.wzw.tum.de/proteomics/,MScDB: A Mass Spectrometry-centric Protein Sequence Database for Proteomics,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: single molecule type | data:: protein | data:: genes | data:: sequence | data:: literature | data:: mass spectrometry | access:: programmatic | access:: data download | status:: alive
22,24150940,https://decipher.sanger.ac.uk/,DECIPHER: database for the interpretation of phenotype-linked plausibly pathogenic sequence and copy-number variation,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,occurrence:: update | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: human | taxonomy:: invertebrate | data:: single molecule type | data:: DNA | data:: genes | data:: genome | data:: sequence | data:: properties and annotation | data:: diseases | data:: mutations and polymorphisms | data:: clinical | access:: web forms/applications | access:: data download | access:: submission | status:: alive
23,23203887,http://zifdb.msi.umn.edu,Zinc Finger Database (ZiFDB) v2.0: a comprehensive database of C2H2 zinc fingers and engineered zinc finger arrays,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,occurrence:: update | taxonomy:: multi-species | data:: single molecule type | data:: protein | data:: structure | data:: sequence | data:: motif | data:: protein-protein interactions | data:: literature | access:: web forms/applications | access:: submission | status:: alive
95,23185043,http://www.bio.nite.go.jp/pks/,DoBISCUIT: a database of secondary metabolite biosynthetic gene clusters,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: DNA | data:: protein | data:: chemicals and small molecules | data:: genes | data:: metabolome | data:: structure | data:: sequence | data:: enzymes | data:: pathways | data:: literature | access:: web forms/applications | access:: data download | status:: alive
28,23941661,http://www.vu-compmedchem.nl/klifs,KLIFS: A knowledge-based structural database to navigate kinase-ligand interaction space,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,occurrence:: initial | data:: protein | data:: chemicals and small molecules | data:: structure | data:: sequence | data:: enzymes | data:: ligand activity and pairs | data:: literature | access:: data download | status:: alive
